SAMPLE_NAME,POPULATION,SUPER,fatherID,motherID,sex
NA12718,CEU,EUR,0,0,2
NA12748,CEU,EUR,0,0,1
NA12775,CEU,EUR,0,0,1
NA12777,CEU,EUR,0,0,1
NA12778,CEU,EUR,0,0,2
NA12827,CEU,EUR,0,0,1
NA12829,CEU,EUR,0,0,1
NA12842,CEU,EUR,0,0,1
NA12843,CEU,EUR,0,0,2
NA12889,CEU,EUR,0,0,1
NA12890,CEU,EUR,0,0,2
NA18488,YRI,AFR,0,0,2
NA18530,CHB,EAS,0,0,1
NA18534,CHB,EAS,0,0,1
NA18536,CHB,EAS,0,0,1
NA18543,CHB,EAS,0,0,1
NA18544,CHB,EAS,0,0,1
NA18546,CHB,EAS,0,0,1
NA18548,CHB,EAS,0,0,1
NA18549,CHB,EAS,0,0,1
NA18557,CHB,EAS,0,0,1
NA18559,CHB,EAS,0,0,1
NA20752,TSI,EUR,0,0,1
NA20753,TSI,EUR,0,0,2
NA20754,TSI,EUR,0,0,1
NA20755,TSI,EUR,0,0,1
NA20756,TSI,EUR,0,0,2
NA20757,TSI,EUR,0,0,2
NA20758,TSI,EUR,0,0,1
NA20759,TSI,EUR,0,0,1
NA20760,TSI,EUR,0,0,2
NA20761,TSI,EUR,0,0,2
NA20762,TSI,EUR,0,0,1
NA20763,TSI,EUR,0,0,1
NA20764,TSI,EUR,0,0,2
NA20765,TSI,EUR,0,0,1
NA20766,TSI,EUR,0,0,2
NA20767,TSI,EUR,0,0,1
NA20768,TSI,EUR,0,0,2
NA20769,TSI,EUR,0,0,2
NA20770,TSI,EUR,0,0,1
NA20771,TSI,EUR,0,0,2
NA20772,TSI,EUR,0,0,2
NA20773,TSI,EUR,0,0,2
HG00443,CHS,EAS,0,0,2
HG00445,CHS,EAS,0,0,1
HG00446,CHS,EAS,0,0,2
HG00448,CHS,EAS,0,0,1
HG00449,CHS,EAS,0,0,2
HG00451,CHS,EAS,0,0,1
HG00452,CHS,EAS,0,0,2
HG00463,CHS,EAS,0,0,1
HG00464,CHS,EAS,0,0,2
HG00118,GBR,EUR,0,0,2
HG00119,GBR,EUR,0,0,1
HG00121,GBR,EUR,0,0,2
HG00122,GBR,EUR,0,0,2
HG00123,GBR,EUR,0,0,2
HG00125,GBR,EUR,0,0,2
HG00126,GBR,EUR,0,0,1
HG00159,GBR,EUR,0,0,1
HG00231,GBR,EUR,0,0,2
HG00232,GBR,EUR,0,0,2
HG00236,GBR,EUR,0,0,2
HG00237,GBR,EUR,0,0,2
HG00239,GBR,EUR,0,0,2
NA18595,CHB,EAS,0,0,2
NA18596,CHB,EAS,0,0,2
NA18597,CHB,EAS,0,0,2
NA18599,CHB,EAS,0,0,2
NA18602,CHB,EAS,0,0,2
NA18606,CHB,EAS,0,0,1
NA18610,CHB,EAS,0,0,2
NA18611,CHB,EAS,0,0,1
NA18612,CHB,EAS,0,0,1
NA18613,CHB,EAS,0,0,1
NA18615,CHB,EAS,0,0,2
NA18616,CHB,EAS,0,0,2
NA18617,CHB,EAS,0,0,2
NA18618,CHB,EAS,0,0,2
NA18619,CHB,EAS,0,0,2
NA18620,CHB,EAS,0,0,1
NA18621,CHB,EAS,0,0,1
NA18622,CHB,EAS,0,0,1
NA18623,CHB,EAS,0,0,1
NA18624,CHB,EAS,0,0,1
NA18625,CHB,EAS,0,0,2
NA18626,CHB,EAS,0,0,2
NA20774,TSI,EUR,0,0,2
NA20775,TSI,EUR,0,0,2
NA20778,TSI,EUR,0,0,1
NA20783,TSI,EUR,0,0,1
NA20785,TSI,EUR,0,0,1
NA20786,TSI,EUR,0,0,2
NA20787,TSI,EUR,0,0,1
NA20790,TSI,EUR,0,0,2
NA20792,TSI,EUR,0,0,1
NA20795,TSI,EUR,0,0,2
NA20796,TSI,EUR,0,0,1
NA20797,TSI,EUR,0,0,2
NA20798,TSI,EUR,0,0,1
NA20799,TSI,EUR,0,0,2
NA20800,TSI,EUR,0,0,2
NA20801,TSI,EUR,0,0,1
NA20802,TSI,EUR,0,0,2
NA20803,TSI,EUR,0,0,1
NA20804,TSI,EUR,0,0,2
NA20805,TSI,EUR,0,0,1
NA20806,TSI,EUR,0,0,1
NA20807,TSI,EUR,0,0,2
HG00242,GBR,EUR,0,0,1
HG00243,GBR,EUR,0,0,1
HG00244,GBR,EUR,0,0,1
HG00245,GBR,EUR,0,0,2
HG00252,GBR,EUR,0,0,1
HG00253,GBR,EUR,0,0,2
HG00254,GBR,EUR,0,0,2
HG00256,GBR,EUR,0,0,1
HG00257,GBR,EUR,0,0,2
HG00258,GBR,EUR,0,0,2
HG00259,GBR,EUR,0,0,2
HG00260,GBR,EUR,0,0,1
HG00261,GBR,EUR,0,0,2
HG00262,GBR,EUR,0,0,2
HG00263,GBR,EUR,0,0,2
HG00264,GBR,EUR,0,0,1
HG00265,GBR,EUR,0,0,1
HG00266,FIN,EUR,0,0,2
HG00267,FIN,EUR,0,0,1
HG00268,FIN,EUR,0,0,2
HG00269,FIN,EUR,0,0,2
HG00271,FIN,EUR,0,0,1
NA18627,CHB,EAS,0,0,2
NA18628,CHB,EAS,0,0,2
NA18630,CHB,EAS,0,0,2
NA18631,CHB,EAS,0,0,2
NA18632,CHB,EAS,0,0,1
NA18633,CHB,EAS,0,0,1
NA18634,CHB,EAS,0,0,2
NA18635,CHB,EAS,0,0,1
NA18636,CHB,EAS,0,0,1
NA18637,CHB,EAS,0,0,1
NA18639,CHB,EAS,0,0,1
NA18640,CHB,EAS,0,0,2
NA18641,CHB,EAS,0,0,2
NA18642,CHB,EAS,0,0,2
NA18643,CHB,EAS,0,0,1
NA18645,CHB,EAS,0,0,1
NA18647,CHB,EAS,0,0,1
NA18740,CHB,EAS,0,0,1
NA18745,CHB,EAS,0,0,1
NA18747,CHB,EAS,0,0,1
NA18748,CHB,EAS,0,0,1
NA18749,CHB,EAS,0,0,1
NA20808,TSI,EUR,0,0,2
NA20809,TSI,EUR,0,0,1
NA20810,TSI,EUR,0,0,1
NA20811,TSI,EUR,0,0,1
NA20812,TSI,EUR,0,0,1
NA20813,TSI,EUR,0,0,2
NA20814,TSI,EUR,0,0,1
NA20815,TSI,EUR,0,0,1
NA20818,TSI,EUR,0,0,2
NA20819,TSI,EUR,0,0,2
NA20821,TSI,EUR,0,0,2
NA20822,TSI,EUR,0,0,2
NA20826,TSI,EUR,0,0,2
NA20827,TSI,EUR,0,0,1
NA20828,TSI,EUR,0,0,2
NA20832,TSI,EUR,0,0,2
NA19222,YRI,AFR,0,0,2
NA19625,ASW,AFR,0,0,2
NA19648,MXL,AMR,0,0,2
NA19649,MXL,AMR,0,0,1
NA19651,MXL,AMR,0,0,2
NA19652,MXL,AMR,0,0,1
HG00272,FIN,EUR,0,0,2
HG00273,FIN,EUR,0,0,1
HG00306,FIN,EUR,0,0,2
HG00308,FIN,EUR,0,0,1
HG00309,FIN,EUR,0,0,2
HG00311,FIN,EUR,0,0,1
HG00313,FIN,EUR,0,0,2
HG00315,FIN,EUR,0,0,2
HG00318,FIN,EUR,0,0,2
HG00319,FIN,EUR,0,0,2
HG00320,FIN,EUR,0,0,2
HG00321,FIN,EUR,0,0,1
HG00323,FIN,EUR,0,0,2
HG00327,FIN,EUR,0,0,2
HG00328,FIN,EUR,0,0,2
HG00335,FIN,EUR,0,0,1
HG00336,FIN,EUR,0,0,1
HG00337,FIN,EUR,0,0,2
HG00338,FIN,EUR,0,0,1
HG00339,FIN,EUR,0,0,2
HG00342,FIN,EUR,0,0,1
HG00343,FIN,EUR,0,0,2
